"cookie policy","Aflați mai multe"
"This websites use cookies. By continuing to browse the site you are agreeing to our use of cookies. For more details about cookies and how to manage them, see our %s.","Cookie-urile ne ajută să oferim serviciile noastre. Utilizând aceste servicii, acceptați modul în care utilizăm cookie-urile. %s."
"Accept","Accepta"
